img-dnn,xapian,masstree,50,20,100,hist
7.997,6.233,5.318,0.15994,0.31165,0.05318,0.174923333
241.509,61.478,32.648,4.83018,3.0739,0.32648,2.74352
1043.701,5191.323,363.429,20.87402,259.56615,3.63429,94.69148667
1083.528,7064.376,61.572,21.67056,353.2188,0.61572,125.16836
2.7,5209.343,18.018,0.054,260.46715,0.18018,86.90044333
2.039,177.237,70.054,0.04078,8.86185,0.70054,3.201056667
1.944,567.522,40.65,0.03888,28.3761,0.4065,9.60716
1.715,1061.46,5.722,0.0343,53.073,0.05722,17.72150667
1.796,8.554,3.346,0.03592,0.4277,0.03346,0.165693333
1.641,143.714,58.608,0.03282,7.1857,0.58608,2.601533333
2.254,220.347,123.064,0.04508,11.01735,1.23064,4.09769
390.804,4378.904,209.603,7.81608,218.9452,2.09603,76.28577
1590.943,6.026,42.042,31.81886,0.3013,0.42042,10.84686
4.418,6.554,4.405,0.08836,0.3277,0.04405,0.15337
9.388,7.537,187.268,0.18776,0.37685,1.87268,0.81243
275.913,6.806,40.691,5.51826,0.3403,0.40691,2.08849
2301.471,11.445,4.773,46.02942,0.57225,0.04773,15.5498
29.838,4.973,49.473,0.59676,0.24865,0.49473,0.446713333
9.839,6.51,3.251,0.19678,0.3255,0.03251,0.18493
621.505,52.116,43.63,12.4301,2.6058,0.4363,5.1574
321.549,156.203,8.555,6.43098,7.81015,0.08555,4.77556
1.793,197.68,4.112,0.03586,9.884,0.04112,3.320326667
542.033,70.242,7.29,10.84066,3.5121,0.0729,4.808553333
3.926,40.323,3.456,0.07852,2.01615,0.03456,0.709743333
210.974,5.884,6.502,4.21948,0.2942,0.06502,1.526233333
1002.882,8.646,5.396,20.05764,0.4323,0.05396,6.847966667
20.367,28.439,4.501,0.40734,1.42195,0.04501,0.624766667
534.395,5.966,5.104,10.6879,0.2983,0.05104,3.67908
2314.62,1157.264,5.917,46.2924,57.8632,0.05917,34.73825667
656.355,15.05,254.427,13.1271,0.7525,2.54427,5.474623333
1.75,6.384,3.518,0.035,0.3192,0.03518,0.129793333
6.719,27.673,5.678,0.13438,1.38365,0.05678,0.524936667
1.511,6.072,49.779,0.03022,0.3036,0.49779,0.277203333
665.16,5.379,3.645,13.3032,0.26895,0.03645,4.5362
527.212,5.75,5.33,10.54424,0.2875,0.0533,3.628346667
296.203,5.681,6.278,5.92406,0.28405,0.06278,2.090296667
5.053,5.777,178.784,0.10106,0.28885,1.78784,0.725916667
1.688,45.509,3.995,0.03376,2.27545,0.03995,0.783053333
2.596,5.952,41.478,0.05192,0.2976,0.41478,0.254766667
1.529,6.043,3.538,0.03058,0.30215,0.03538,0.122703333
3.593,5.631,118.651,0.07186,0.28155,1.18651,0.513306667
1.829,6.398,4.396,0.03658,0.3199,0.04396,0.13348
1.44,195.047,48.161,0.0288,9.75235,0.48161,3.42092
1.991,5.917,169.339,0.03982,0.29585,1.69339,0.676353333
1.956,80.389,3.933,0.03912,4.01945,0.03933,1.365966667
1.706,1553.876,4.76,0.03412,77.6938,0.0476,25.92517333
1.964,7.657,4.772,0.03928,0.38285,0.04772,0.156616667
4.211,22.917,5.932,0.08422,1.14585,0.05932,0.429796667
2.709,9.681,4.888,0.05418,0.48405,0.04888,0.195703333
1.975,6.42,4.143,0.0395,0.321,0.04143,0.133976667
1194.308,104.854,151.868,23.88616,5.2427,1.51868,10.21584667
661.519,1807.555,143.52,13.23038,90.37775,1.4352,35.01444333
1.935,1526.179,3.456,0.0387,76.30895,0.03456,25.46073667
382.457,33.583,6.166,7.64914,1.67915,0.06166,3.129983333
548.528,5.023,57.094,10.97056,0.25115,0.57094,3.930883333
1.766,6.444,3.371,0.03532,0.3222,0.03371,0.13041
1.848,5.033,3.188,0.03696,0.25165,0.03188,0.10683
1.841,5.13,3.503,0.03682,0.2565,0.03503,0.10945
3.862,61.322,4.656,0.07724,3.0661,0.04656,1.0633
2.083,4.937,45.768,0.04166,0.24685,0.45768,0.24873
1.655,6.527,3.598,0.0331,0.32635,0.03598,0.13181
676.439,2099.117,27.051,13.52878,104.95585,0.27051,39.58504667
483.398,529.354,43.801,9.66796,26.4677,0.43801,12.19122333
7.429,5.772,4.658,0.14858,0.2886,0.04658,0.161253333
2.114,5.202,5.147,0.04228,0.2601,0.05147,0.11795
3.26,17.062,4.639,0.0652,0.8531,0.04639,0.321563333
2.68,5.361,4.733,0.0536,0.26805,0.04733,0.122993333
499.459,4.775,4.583,9.98918,0.23875,0.04583,3.424586667
506.955,25.03,27.195,10.1391,1.2515,0.27195,3.887516667
73.543,1772.109,5.658,1.47086,88.60545,0.05658,30.04429667
2.272,5.709,3.413,0.04544,0.28545,0.03413,0.121673333
418.608,5.442,3.263,8.37216,0.2721,0.03263,2.892296667
8.621,5.825,3.964,0.17242,0.29125,0.03964,0.16777
1089.506,439.974,33.009,21.79012,21.9987,0.33009,14.70630333
1.877,1566.096,32.428,0.03754,78.3048,0.32428,26.22220667
1.91,5.568,3.313,0.0382,0.2784,0.03313,0.116576667
43.007,44.435,50.208,0.86014,2.22175,0.50208,1.194656667
325.387,6.046,48.875,6.50774,0.3023,0.48875,2.43293
1.727,6.623,3.259,0.03454,0.33115,0.03259,0.13276
300.562,904.942,10.473,6.01124,45.2471,0.10473,17.12102333
1353.95,5.671,150.845,27.079,0.28355,1.50845,9.623666667
1.875,6.902,3.328,0.0375,0.3451,0.03328,0.138626667
2.684,15.452,3.286,0.05368,0.7726,0.03286,0.28638
2.946,5.397,66.47,0.05892,0.26985,0.6647,0.331156667
1.804,5.734,3.36,0.03608,0.2867,0.0336,0.118793333
548.333,7.305,59.088,10.96666,0.36525,0.59088,3.974263333
1.781,6.395,2.998,0.03562,0.31975,0.02998,0.12845
1.871,44.859,4.169,0.03742,2.24295,0.04169,0.77402
2.147,7.369,3.137,0.04294,0.36845,0.03137,0.147586667
1.928,8.713,3.631,0.03856,0.43565,0.03631,0.170173333
502.056,248.992,345.044,10.04112,12.4496,3.45044,8.647053333
2.202,6.966,3.994,0.04404,0.3483,0.03994,0.144093333
